t,x
1,1.2
2,1.173358647310795
3,1.1625079751210923
4,1.2241650305484824
5,1.2201269759276796
6,1.2189003082353813
7,1.2812429641961631
8,1.2854661701650154
9,1.220042812395966
10,1.1861800289869222
11,1.1655116872728546
12,1.2135257279681044
13,1.222255388718788
14,1.2316464838749706
15,1.2283418014622958
16,1.1987654053077943
17,1.2661466824033232
18,1.2739473117733016
19,1.1820980113355888
20,1.207700488672605
21,1.1837572288719702
22,1.1384349258242
23,1.1309358628389592
24,1.0916544468838076
25,1.066644451382699
26,1.046930488399074
27,0.9854459336868208
28,1.0259757119964494
29,1.0386377816183934
30,0.999334691157318
31,1.0564195473574851
32,1.0791488667872544
33,1.0720991377259088
34,1.1129675635308975
35,1.151034002532566
36,1.1841514977562229
37,1.2090501093570947
38,1.2260304161572233
39,1.2164802855508898
40,1.1982524061089552
41,1.178990904486164
42,1.1490424163958106
43,1.1411376744872028
44,1.0915409830811074
45,1.1824507162051865
46,1.2282840478489618
47,1.17602370900566
48,1.1580221858182287
49,1.1390418653006258
50,1.1714156211364721
51,1.1666119734119489
52,1.1756999076090922
53,1.172701560467448
54,1.1694024481540148
55,1.2228567330388516
56,1.20711747633849
57,1.2628069732350937
58,1.1891930009543772
59,1.209442591036686
60,1.2091780878168437
61,1.212625575055869
62,1.2222468877512225
63,1.1955151560400894
64,1.1784226389081205
65,1.135572233553287
66,1.0941293716927258
67,1.1102872650084212
68,1.131320012746384
69,1.1351719922745858
70,1.1735203674255257
71,1.2538655609231242
72,1.2237371537097697
73,1.12456114839842
74,1.1669864509779555
75,1.1375409528614937
76,1.1113061829105007
77,1.155371732045301
78,1.1438850240702412
79,1.0958678212733182
80,1.1070444418270213
81,1.1047861271464106
82,1.1084454969443123
83,1.1270712840165003
84,1.114270874599421
85,1.1429064238074
86,1.134972847209466
87,1.149716147971273
88,1.193948522857249
89,1.2077492922873405
90,1.1896752047985375
91,1.2324452347702326
92,1.2643585201742482
93,1.2744223761082643
94,1.2707208311990101
95,1.2328666614387698
96,1.2794157072303909
97,1.2414520063321701
98,1.320027110029983
99,1.361210603323441
100,1.3245790022291382
101,1.2626594568889111
102,1.222599064417526
103,1.2261954345894845
104,1.2092349721365008
105,1.190136966820422
106,1.148844535041038
107,1.1474709402220122
108,1.1166098037713112
109,1.052605930806405
110,1.0431981626055915
111,1.0860527608475428
112,1.0674656926826653
113,1.0970390003075738
114,1.036185213769341
115,1.040249847232234
116,1.0672044838309243
117,1.0845158427559207
118,1.0932442724797666
119,1.0716792102465056
120,1.0427721874223552
121,1.0079140960962527
122,1.019456429173726
123,0.9882131643016754
124,0.9755987883394716
125,0.9723832116538048
126,1.053159892552056
127,1.0328646425618917
128,1.0486504829637167
129,1.0576985353811237
130,1.024849738875824
131,1.028548138673977
132,1.0928012967536342
133,1.1149477364735214
134,1.1194153583852762
135,1.1050499255500101
136,1.0263336067221303
137,1.0781066255585359
138,1.0244814821804336
139,1.0606376928681023
140,1.1425203837929583
141,1.085679759083114
142,1.11819614251771
143,1.1103210881766463
144,1.0505376393861967
145,0.9958202241669475
146,0.9387208442977913
147,0.9241803493211039
148,0.8721189133208712
149,0.9043354350238985
150,0.9942198570158423
151,0.9497124693086552
152,0.9880769079224402
153,1.0258471087417917
154,1.0456650788277453
155,1.0113517295380747
156,1.0133625055486177
157,1.0089052850842888
158,1.0382481559574719
159,1.0295834585484875
160,1.075110124621448
161,1.0650606032204148
162,1.112519185453924
163,1.0735207519685506
164,1.028117236729616
165,1.1642395508969188
166,1.1467257940890294
167,1.1592478944095557
168,1.1842944742423418
169,1.162282581106062
170,1.1822849675134108
171,1.194574098746721
172,1.1822895463769347
173,1.1824313843594547
174,1.178585377565926
175,1.2616009532320658
176,1.2204446415049899
177,1.17017069675663
178,1.1703243178826133
179,1.181371979833047
180,1.1964497027816359
181,1.1742562106864523
182,1.1299982839637708
183,1.1823499376692
184,1.165888320399981
185,1.1302859243297076
186,1.1226389426146075
187,1.1170756515558704
188,1.1641567433370668
189,1.1667139006102165
190,1.1958223624245008
191,1.1720553906778894
192,1.1791070001580468
193,1.1639485448138085
194,1.1669174355576646
195,1.1300314580892445
196,1.0794213335251668
197,1.164050542646762
198,1.1872556863058479
199,1.1342588337191104
200,1.1113354992028455
201,1.0669572087590637
202,1.1601847481384508
203,1.2121865349313867
204,1.196064427103358
205,1.2139723850901283
206,1.1916868107080445
207,1.169256065639539
208,1.136435090868812
209,1.1140166470659545
210,1.1829292205606903
211,1.1782375527313116
212,1.1809171418782767
213,1.1883242333101858
214,1.2345732704948293
215,1.2058495589901128
216,1.161314813497522
217,1.2277526785572168
218,1.2028322307550383
219,1.1693929525925786
220,1.1186530614062458
221,1.069847976946657
222,1.0520466428348738
223,1.0825859497118981
224,1.1315733318193075
225,1.1615908654367002
226,1.1464311932407436
227,1.1494370270000018
228,1.1216340224504868
229,1.095335251719549
230,1.1346741694185887
231,1.095543968851791
232,1.1776975045453368
233,1.1720445043057408
234,1.1791008314396525
235,1.1473892789132476
236,1.1249551378740033
237,1.074443805212838
238,1.0720895651916877
239,1.0939126663260865
240,1.1109129896591314
241,1.0827180776843077
242,1.055760407124758
243,1.0413662507510946
244,1.1073558322188908
245,1.0651427115775445
246,1.0633275590968008
247,1.144839228721344
248,1.1415387726269774
249,1.0881342149641475
250,1.0658674929703595
251,1.0906043123809868
252,1.0797796788946679
253,1.062028862659099
254,1.053738721479953
255,1.063121803430575
256,1.1324872219374038
257,1.130594107008554
258,1.1756087670144184
259,1.1989907920149725
260,1.1903268034993648
261,1.1257643339746202
262,1.107034400453601
263,1.0907375120056642
264,1.096816371797649
265,1.1526978582602285
266,1.244542066912539
267,1.2971435665792987
268,1.2752714354033945
269,1.1916409338620229
270,1.172713420959938
271,1.1746963477169627
272,1.206731973553272
273,1.2403048531841538
274,1.2589002102059819
275,1.1919443141506973
276,1.222523603694382
277,1.1979909522521548
278,1.2009671509483266
279,1.1996268058508786
280,1.2125696407629376
281,1.2079984889597872
282,1.1362359861532776
283,1.1670765343305145
284,1.1814322624914275
285,1.1684172998369302
286,1.1719401959763753
287,1.1757858738751528
288,1.1827623080563046
289,1.2458814589905192
290,1.227650014768371
291,1.2271106887075454
292,1.2666469408099628
293,1.296632986925403
294,1.3259742484131796
295,1.2817834086416795
296,1.3475920255612928
297,1.3254910382703757
298,1.3791525515370433
299,1.2945657282261698
300,1.2792455731124777
301,1.3153129752985273
302,1.2673398332726347
303,1.2249569629083261
304,1.1804658393821994
305,1.1360672815817556
306,1.1199738495222036
307,1.1357193064259397
308,1.0565690388777451
309,1.0707137530839745
310,1.1253024080134708
